,Date,User,Tweet
32,2019-03-03 07:16:38+00:00,IndianExpress,"#InPics | The ceremony has shifted from India Gate to the newly inaugurated memorial and will now be held at 9.50 am every Sunday.

https://t.co/ylouFf2DUq https://t.co/LScMeRrmrE"
33,2019-03-03 06:30:00+00:00,IndianExpress,"#SundayEYE | How an American school project promoting menstrual hygiene in India led to an Oscar-winning film.

@waywardandwise  writes:

https://t.co/iQDUOBB2ra"
34,2019-03-03 05:41:26+00:00,IndianExpress,"#IEWorld | The resolution expresses concern over the threat posed to democracy and human rights by theocratic groups operating in South Asia, particularly in Pakistan and Bangladesh

https://t.co/WteUcoqgxc"
35,2019-03-03 04:40:00+00:00,IndianExpress,"#ExpressOpinion | We say Kashmir is an integral part of India. Yet, the reaction against Kashmiris in mainland India showed that Indians do not like Kashmiris.

Meghnad Desai writes:

https://t.co/9EWcGQWbOP"
36,2019-03-03 04:29:19+00:00,IndianExpress,"#ExpressOpinion  |  We have problems in Kashmir but they are our problems. With Pakistan we have one problem and one problem alone. It is jihadist terrorism.

Writes Tavleen Singh

https://t.co/tZB9bkj8WM"
37,2019-03-03 04:21:00+00:00,IndianExpress,"#InsideTrack | The Opposition fears that Modi has stolen the narrative and issued a statement urging the PM not to politicise the action against Pakistan.

https://t.co/SceYqS4AGc"
38,2019-03-03 04:14:29+00:00,IndianExpress,"#SundayEYE | Writer and activist Nayantara Sahgal, on writing about the ‘unmaking of India’, the role of fiction in politically turbulent times and why there’s no destroying hope.

In conversation with @seemay

https://t.co/Pd7qgtzpqC"
39,2019-03-03 04:13:09+00:00,IndianExpress,"In two separate posts on Facebook, Wathar allegedly questioned the BJP and other right-wing activists over the latest round of tension with Pakistan.

https://t.co/mr03yR2W1t"
40,2019-03-03 04:07:06+00:00,IndianExpress,"#ExpressOpinion | The shooting down of a Pakistani F-16 by Wing Commander Abhinandan with his MIG-21 — the first-ever Indian pilot to do so — is of historical significance.

Former Chief of Air Staff, S Krishnaswamy writes:

https://t.co/4RFe8dCOhZ"
41,2019-03-03 03:59:43+00:00,IndianExpress,"#ExpressOpinion | Pakistan believes that the ‘core’ of our problems is Kashmir, but this is not our view and we need to say this much more loudly than we have so far, writes @tavleen_singh

https://t.co/yzCoqhTHj3"
42,2019-03-03 03:49:41+00:00,IndianExpress,"The cop was suspended for sharing on his Facebook profile a post by someone else which praised Pakistan Prime Minister Imran Khan and said Muslims are very generous
 
https://t.co/2Wc4pLIQfg"
43,2019-03-03 03:46:53+00:00,IndianExpress,"#ExpressOpinion | Unlike 1971, there is no pressure on India to go to the help of a restive province of Pakistan. Unlike Kargil, there is no attempt by Pakistan to grab Indian territory, writes @PChidambaram_IN 

https://t.co/BQrjU1U5Zz"
44,2019-03-03 03:36:20+00:00,IndianExpress,"#SundayStory | With the #Balakot strike, India has set a fresh template for terror response against Pakistan, for any government that follows.

@ShubhajitRoy on what went on beyond the 12 days between Pulwama and Khyber Pakhtunkhwa:

https://t.co/26Pxqeqzt5"
45,2019-03-03 02:09:38+00:00,IndianExpress,"#IEWorld | “Look at motorcycles as an example. (In) India, it was 100 per cent. I got them down to 50 per cent, just by talking for about two minutes,"" Trump said.

https://t.co/RZliCAPl9J"
46,2019-03-03 01:30:01+00:00,IndianExpress,"#ExpressFrontPage India has handed over a dossier with evidence of Jaish’s operations and involvement.

https://t.co/SXjYFLXpZ2"
47,2019-03-03 01:15:00+00:00,IndianExpress,"#ExpressFrontPage On February 20, an NIA team was sent back to Pulwama to scan a radius of 200 metres around the attack site with metal detectors.

https://t.co/pKiXZdagzo"
48,2019-03-02 22:41:00+00:00,IndianExpress,"IAF pilot Abhinandan Varthaman, was carrying the ‘Survival on Land’ booklet, when he fell in PoK territory,

https://t.co/kv7HFUV7xV"
49,2019-03-02 22:25:20+00:00,IndianExpress,"India said J&amp;K is an “integral part of India and is a matter strictly internal to India”. 
https://t.co/3IlRcyf2sL"
50,2019-03-02 20:56:17+00:00,IndianExpress,"It was the second such call since the attack on the CRPF vehicle in Pulwama which killed 40 security personnel on February 14.

https://t.co/B1f4WleF1j"
51,2019-03-02 20:39:22+00:00,IndianExpress,"""Abhinandan once used to mean congratulations in English and now the meaning of Abhinandan will change.""
https://t.co/zRX8g5hEfU"
52,2019-03-02 20:38:41+00:00,IndianExpress,"While calling Imran Khan a “good neighbour, Singh, a former chief minister of Madhya Pradesh, also said that the Pakistan PM should now “also show bravery and hand over Hafiz Saeed.
https://t.co/SMof0CX7Hd"
53,2019-03-02 19:13:05+00:00,IndianExpress,"#ExpressOpinion | India does not need to get embroiled in a war. Unlike 1971, there is no pressure on India to go to the help of a restive province of Pakistan. Unlike Kargil, there is no attempt by Pakistan to grab Indian territory.

https://t.co/I1RoeurhfG"
54,2019-03-02 18:56:00+00:00,IndianExpress,"#ExpressOpinion | Over the last 70 yrs, India has failed to make Kashmir love it nor has it learned to love Kashmir. 

https://t.co/MRuwECMpTi"
55,2019-03-02 16:06:31+00:00,IndianExpress,"Much more could have been achieved if India had Rafale aircraft: PM Modi
https://t.co/9g4v0thKZ2"
56,2019-03-02 15:38:03+00:00,adgpi,"2 March 1948. Major Joginder Singh , During an attack on a strong enemy position in J&amp;K enthused his troops with an indomitable will to win facilitating accomplishment of objective.Displayed outstanding courage and leadership. Awarded #VirChakra https://t.co/iS4wSSjWS3"
57,2019-03-02 15:22:11+00:00,PMOIndia,"It was known that India needed to work on financial inclusion.

For that they gave a token- bank nationalization.

They did this in the name of the poor but none of them bothered to check if the doors of banks are open for the poor or not: PM"
58,2019-03-02 15:21:25+00:00,PMOIndia,"Our 55 months and the 55 years of the others have given 2 contrasting approaches to governance.

They had a ‘token approach’, we have a ‘total approach': PM

India has been battling poverty but they gave a token slogan- गरीबी हटाओ. How to achieve that was not specified: PM"
59,2019-03-02 14:26:16+00:00,adgpi,"02 March 1948. During an attack on a feature in J&amp;K, Naik Gurdial Singh of 15 Punjab (Patiala) was commander of No. 2 section of the leading platoon. He charged enemy bunker and threw a grenade at it. Displayed courage and bravery. Awarded #VirChakra https://t.co/99VQ1kZClu"
60,2019-03-02 12:44:50+00:00,IndianExpress,"Pakistan has confirmed that the area was struck by India but has denied that there were terror camps or that there was any damage.

https://t.co/gWznSfRTZn"
61,2019-03-02 12:21:04+00:00,adgpi,"02 March 1948. During an attack on a feature in J&amp;K, Naik Gurdial Singh of 15 Punjab (Patiala) was commander of No. 2 section of the leading platoon. He charged enemy bunker and threw a grenade at it. Displayed courage and bravery. Awarded #VirChakra https://t.co/rJsUY0KPsm"
62,2019-03-02 11:45:00+00:00,IndianExpress,"The Indian Air Force pilot is understood to have explained Sitharaman the details about his nearly 60-hour stay in Pakistan.

https://t.co/Mo78aJo9GY"
63,2019-03-02 11:13:42+00:00,IndianExpress,"Defence Nirmala Sitharaman meets Wing Commander Abhinandan Varthaman

Follow LIVE updates: 
https://t.co/y6OS0FYzAN"
64,2019-03-02 11:10:37+00:00,IndianExpress,The Samjhauta Express train service between India and Pakistan has been restored after the two neighbours agreed to operationalise services at their ends. https://t.co/3mVs4BWexO
65,2019-03-02 10:40:15+00:00,IndianExpress,"Resolution submitted in Pakistan parliament to endorse PM Imran Khan for Nobel Peace Prize

https://t.co/Y7iQE8iHt1"
66,2019-03-02 10:25:45+00:00,IndianExpress,"#IEWorld | Speaking at an India Today Conclave in New Delhi, British MP Boris Johnson said India and the United Kingdom would succeed in defeating terrorism, a common threat, for their values were superior to those of terrorists and their sponsors.

https://t.co/gWPCzvbDYx"
67,2019-03-02 09:58:21+00:00,IndianExpress,"The party is mulling to name Rahul’s rally as ‘Jai Jawan, Jai Hindustan’ and the main pandal after CRPF head constable Jaimal Singh, a Moga native who was killed in Pulwama attack on February 14.

https://t.co/jJJgWJDmGy"
68,2019-03-02 09:09:14+00:00,IndianExpress,"Lockheed Martin, maker of F-16 jet, denies Pakistan’s claim about suing India

https://t.co/A1YE1Eog2i"
69,2019-03-02 08:52:42+00:00,IndianExpress,"After India puts out proof, US seeks more information on misuse of F-16 aircraft by Pakistan https://t.co/nzfLHNzSCj"
70,2019-03-02 08:51:46+00:00,IndianExpress,"J&amp;K: Pakistan continues heavy shelling in Nowshera, Indian army retaliating https://t.co/iqcSNM4hhB"
