,Date,User,Tweet
30,2019-03-03 12:06:44+00:00,ARYNEWSOFFICIAL,"The post-mortem report of a Pakistani national, #Shakirullah, who was stoned to death by other inmates inside #India’s Jaipur #CentralJail, has revealed that he died owing to a grievous head injury
#ARYNews 

https://t.co/JBCVBFG5r3"
31,2019-03-03 11:51:48+00:00,ARYNEWSOFFICIAL,"Additional Inspector General (#AIG) #Karachi #AmirSheikh reviewed security situation ahead of the Pakistan Super League (#PSL) season 4 matches after announcement of transfer of more matches in #Karachi
#ARYNews 

https://t.co/MdHdB1aayz"
32,2019-03-03 11:37:21+00:00,ARYNEWSOFFICIAL,"Slamming the Pakistan People’s Party (#PPP) led #Sindh government, Opposition Leader in the #SindhAssembly #FirdousShamimNaqvi said that it has ruined the province during its decade-long rule
#ARYNews 

https://t.co/1eHTJagvzA"
33,2019-03-03 11:03:57+00:00,ARYNEWSOFFICIAL,"#Qatar’s Emir Sheikh Tamim bin Hamad Al Thani appreciated Pakistan’s gesture of releasing #Indian #AirForce (IAF) Wing Commander #AbhinandanVarthaman, according to Foreign Office spokesperson Dr Muhammad Faisal
#ARYNews 

https://t.co/6d7G9aEiUZ"
34,2019-03-03 10:52:04+00:00,ARYNEWSOFFICIAL,"Chief Minister #Sindh #MuradAliShah confirmed that #Karachi will be hosting all the remaining matches of Pakistan Super League (#PSL) matches now
#ARYNews 

https://t.co/t8Zcs44NQM"
35,2019-03-03 10:35:39+00:00,ARYNEWSOFFICIAL,"#NationalAssembly Speaker #AsadQaiser has urged the parliament speakers of 178 countries to take note of atrocities being committed by #Indianforces in #India held #Kashmir.
#ARYNews 

https://t.co/nmNCWiBeBS"
36,2019-03-03 10:24:33+00:00,ARYNEWSOFFICIAL,"Chairman Hurriyat Forum Mirwaiz Umar Farooq said Pakistan and #India should begin decisive talks on the issue of #Kashmir
#ARYNews 

https://t.co/hgJtdl3gHt"
37,2019-03-03 09:53:21+00:00,ARYNEWSOFFICIAL,"Pakistani troops remain on alert, and there have been no casualties on the Pakistan side during the past 24 hours, said Inter Services Public Relations (#ISPR) 
#ARYNews 

https://t.co/gfJXZyt6DA"
38,2019-03-03 09:45:14+00:00,ARYNEWSOFFICIAL,"#Indian politician has challenged veracity of the claim that 300 people were killed in #Indian #airstrikes inside Pakistan
#ARYNews 

https://t.co/GtWZst4Kgo"
39,2019-03-03 08:49:14+00:00,ARYNEWSOFFICIAL,"Funeral prayers of Pakistani citizen #Shakirullah, who was martyred by fellow inmates in #India’s Jaipur jail, were offered in Daska
#ARYNews

https://t.co/96eFCHG2iF"
